Year,OffenceDivision,OffenceSubdivision,OffenceSubgroup,IncidentsRecorded,"Rate"
2009,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,70,1.3
2008,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"1,073",20.4
2008,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,616,11.7
2008,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,63,1.2
2008,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,44,0.8
2017,B Property and deception offences,B10 Arson,B19 Other fire related offences,414,6.7
2017,B Property and deception offences,B10 Arson,B12 Cause a bushfire,59,1.0
2017,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"2,475",40.2
2016,B Property and deception offences,B10 Arson,B19 Other fire related offences,609,10.0
2016,B Property and deception offences,B10 Arson,B12 Cause a bushfire,93,1.5
2016,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"3,208",52.9
2015,B Property and deception offences,B10 Arson,B19 Other fire related offences,426,7.2
2015,B Property and deception offences,B10 Arson,B12 Cause a bushfire,83,1.4
2015,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"2,592",43.6
2014,B Property and deception offences,B10 Arson,B19 Other fire related offences,467,8.0
2014,B Property and deception offences,B10 Arson,B12 Cause a bushfire,98,1.7
2014,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"2,740",46.9
2013,B Property and deception offences,B10 Arson,B19 Other fire related offences,455,7.9
2013,B Property and deception offences,B10 Arson,B12 Cause a bushfire,95,1.7
2013,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"3,050",53.2
2012,B Property and deception offences,B10 Arson,B19 Other fire related offences,183,3.2
2012,B Property and deception offences,B10 Arson,B12 Cause a bushfire,46,0.8
2012,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"2,947",52.3
2011,B Property and deception offences,B10 Arson,B19 Other fire related offences,83,1.5
2011,B Property and deception offences,B10 Arson,B12 Cause a bushfire,12,0.2
2011,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"2,765",49.9
2010,B Property and deception offences,B10 Arson,B19 Other fire related offences,220,4.0
2010,B Property and deception offences,B10 Arson,B12 Cause a bushfire,44,0.8
2010,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"2,840",52.0
2009,B Property and deception offences,B10 Arson,B19 Other fire related offences,308,5.7
2009,B Property and deception offences,B10 Arson,B12 Cause a bushfire,32,0.6
2009,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"3,159",58.8
2008,B Property and deception offences,B10 Arson,B19 Other fire related offences,239,4.5
2008,B Property and deception offences,B10 Arson,B12 Cause a bushfire,11,0.2
2008,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"3,293",62.6
2017,B Property and deception offences,B20 Property damage,B29 Other property damage offences,297,4.8
2017,B Property and deception offences,B20 Property damage,B22 Graffiti,"2,833",46.0
2017,B Property and deception offences,B20 Property damage,B21 Criminal damage,"32,888",534.1
2016,B Property and deception offences,B20 Property damage,B29 Other property damage offences,271,4.5
2016,B Property and deception offences,B20 Property damage,B22 Graffiti,"2,777",45.8
2016,B Property and deception offences,B20 Property damage,B21 Criminal damage,"34,522",568.8
2015,B Property and deception offences,B20 Property damage,B29 Other property damage offences,244,4.1
2015,B Property and deception offences,B20 Property damage,B22 Graffiti,"3,019",50.8
2015,B Property and deception offences,B20 Property damage,B21 Criminal damage,"32,362",544.2
2014,B Property and deception offences,B20 Property damage,B29 Other property damage offences,249,4.3
2014,B Property and deception offences,B20 Property damage,B22 Graffiti,"2,976",51.0
2014,B Property and deception offences,B20 Property damage,B21 Criminal damage,"33,951",581.5
2013,B Property and deception offences,B20 Property damage,B29 Other property damage offences,243,4.2
2013,B Property and deception offences,B20 Property damage,B22 Graffiti,"3,190",55.6
2013,B Property and deception offences,B20 Property damage,B21 Criminal damage,"36,763",641.2
2012,B Property and deception offences,B20 Property damage,B29 Other property damage offences,239,4.2
2012,B Property and deception offences,B20 Property damage,B22 Graffiti,"3,148",55.9
2012,B Property and deception offences,B20 Property damage,B21 Criminal damage,"39,990",710.0
2011,B Property and deception offences,B20 Property damage,B29 Other property damage offences,230,4.2
2011,B Property and deception offences,B20 Property damage,B22 Graffiti,"3,288",59.4
2011,B Property and deception offences,B20 Property damage,B21 Criminal damage,"40,349",728.6
2010,B Property and deception offences,B20 Property damage,B29 Other property damage offences,253,4.6
2010,B Property and deception offences,B20 Property damage,B22 Graffiti,"2,427",44.4
2010,B Property and deception offences,B20 Property damage,B21 Criminal damage,"44,289",811.0
2009,B Property and deception offences,B20 Property damage,B29 Other property damage offences,251,4.7
2009,B Property and deception offences,B20 Property damage,B22 Graffiti,"1,401",26.1
2009,B Property and deception offences,B20 Property damage,B21 Criminal damage,"49,287",917.5
2008,B Property and deception offences,B20 Property damage,B29 Other property damage offences,247,4.7
2008,B Property and deception offences,B20 Property damage,B22 Graffiti,116,2.2
2008,B Property and deception offences,B20 Property damage,B21 Criminal damage,"49,714",945.8
2017,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,86,1.4
2017,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"14,343",232.9
2017,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"28,862",468.7
2017,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,1,0.0
2017,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,141,2.3
2017,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"3,228",52.4
2016,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,138,2.3
2016,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"16,452",271.1
2016,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"31,703",522.3
2016,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,8,0.1
2016,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,100,1.6
2016,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"3,282",54.1
2015,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,219,3.7
2015,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"14,436",242.8
2015,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"28,565",480.4
2015,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,19,0.3
2015,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,80,1.3
2015,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"2,359",39.7
2014,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,237,4.1
2014,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"13,792",236.2
2014,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"27,629",473.3
2014,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,19,0.3
2014,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,73,1.3
2014,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"1,997",34.2
2013,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,301,5.2
2013,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"14,238",248.3
2013,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"27,821",485.2
2013,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,23,0.4
2013,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,105,1.8
2013,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"2,144",37.4
2012,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,309,5.5
2012,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"14,192",252.0
2012,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"28,730",510.1
2012,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,7,0.1
2012,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,75,1.3
2012,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"2,064",36.6
2011,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,332,6.0
2011,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"13,419",242.3
2011,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"27,168",490.6
2011,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,10,0.2
2011,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,50,0.9
2011,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"1,732",31.3
2010,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,439,8.0
2010,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"15,009",274.8
2010,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"25,815",472.7
2010,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,4,0.1
2010,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,80,1.5
2010,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"1,825",33.4
2009,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,517,9.6
2009,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"15,428",287.2
2009,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"27,628",514.3
2009,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,7,0.1
2009,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,69,1.3
2009,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"1,437",26.8
2008,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,434,8.3
2008,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"18,114",344.6
2008,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"28,089",534.4
2008,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,4,0.1
2008,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,61,1.2
2008,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"1,394",26.5
2017,B Property and deception offences,B40 Theft,B49 Other theft,"36,383",590.9
2017,B Property and deception offences,B40 Theft,B46 Fare evasion,93,1.5
2017,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"7,818",127.0
2017,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"5,709",92.7
2017,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"18,308",297.3
2017,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"52,964",860.1
2017,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"15,477",251.4
2016,B Property and deception offences,B40 Theft,B49 Other theft,"41,849",689.5
2016,B Property and deception offences,B40 Theft,B46 Fare evasion,69,1.1
2016,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"6,754",111.3
2016,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"6,618",109.0
2016,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"18,595",306.4
2016,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"62,096","1,023.1"
2016,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"18,466",304.2
2015,B Property and deception offences,B40 Theft,B49 Other theft,"37,769",635.1
2015,B Property and deception offences,B40 Theft,B46 Fare evasion,64,1.1
2015,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"5,287",88.9
2015,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"5,787",97.3
2015,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"17,855",300.3
2015,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"49,494",832.3
2015,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"14,769",248.4
2014,B Property and deception offences,B40 Theft,B49 Other theft,"37,642",644.8
2014,B Property and deception offences,B40 Theft,B46 Fare evasion,54,0.9
2014,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"4,965",85.0
2014,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"4,904",84.0
2014,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"18,885",323.5
2014,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"46,406",794.9
2014,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"14,990",256.8
2013,B Property and deception offences,B40 Theft,B49 Other theft,"40,782",711.3
2013,B Property and deception offences,B40 Theft,B46 Fare evasion,102,1.8
2013,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"4,281",74.7
2013,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"4,623",80.6
2013,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"19,920",347.4
2013,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"40,972",714.6
2013,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"12,435",216.9
2012,B Property and deception offences,B40 Theft,B49 Other theft,"42,815",760.1
2012,B Property and deception offences,B40 Theft,B46 Fare evasion,69,1.2
2012,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"4,008",71.2
2012,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"4,008",71.2
2012,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"18,442",327.4
2012,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"44,307",786.6
2012,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"13,993",248.4
2011,B Property and deception offences,B40 Theft,B49 Other theft,"41,512",749.6
2011,B Property and deception offences,B40 Theft,B46 Fare evasion,51,0.9
2011,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"3,252",58.7
2011,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"3,927",70.9
2011,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"18,508",334.2
2011,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"41,736",753.7
2011,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"12,929",233.5
2010,B Property and deception offences,B40 Theft,B49 Other theft,"41,665",762.9
2010,B Property and deception offences,B40 Theft,B46 Fare evasion,59,1.1
2010,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"3,172",58.1
2010,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"4,003",73.3
2010,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"19,636",359.6
2010,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"42,145",771.7
2010,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"12,421",227.4
2009,B Property and deception offences,B40 Theft,B49 Other theft,"44,290",824.5
2009,B Property and deception offences,B40 Theft,B46 Fare evasion,57,1.1
2009,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"3,667",68.3
2009,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"4,547",84.6
2009,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"19,912",370.7
2009,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"44,035",819.7
2009,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"13,953",259.7
2008,B Property and deception offences,B40 Theft,B49 Other theft,"47,379",901.4
2008,B Property and deception offences,B40 Theft,B46 Fare evasion,63,1.2
2008,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"3,607",68.6
2008,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"5,502",104.7
2008,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"14,876",283.0
2008,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"51,501",979.8
2008,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"16,162",307.5
2017,B Property and deception offences,B50 Deception,B59 Other deception offences,122,2.0
2017,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,58,0.9
2017,B Property and deception offences,B50 Deception,B55 Deceptive business practices,7,0.1
2017,B Property and deception offences,B50 Deception,B54 State false information,845,13.7
2017,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"18,332",297.7
2017,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,3,0.0
2017,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,"2,036",33.1
2016,B Property and deception offences,B50 Deception,B59 Other deception offences,94,1.5
2016,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,75,1.2
2016,B Property and deception offences,B50 Deception,B55 Deceptive business practices,2,0.0
2016,B Property and deception offences,B50 Deception,B54 State false information,878,14.5
2016,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"16,608",273.6
2016,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,9,0.1
2016,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,"2,054",33.8
2015,B Property and deception offences,B50 Deception,B59 Other deception offences,57,1.0
2015,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,76,1.3
2015,B Property and deception offences,B50 Deception,B55 Deceptive business practices,4,0.1
2015,B Property and deception offences,B50 Deception,B54 State false information,687,11.6
2015,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"13,834",232.6
2015,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,5,0.1
2015,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,"2,154",36.2
2014,B Property and deception offences,B50 Deception,B59 Other deception offences,49,0.8
2014,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,47,0.8
2014,B Property and deception offences,B50 Deception,B55 Deceptive business practices,14,0.2
2014,B Property and deception offences,B50 Deception,B54 State false information,575,9.8
2014,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"14,512",248.6
2014,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,6,0.1
2014,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,"1,832",31.4
2013,B Property and deception offences,B50 Deception,B59 Other deception offences,49,0.9
2013,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,40,0.7
2013,B Property and deception offences,B50 Deception,B55 Deceptive business practices,12,0.2
2013,B Property and deception offences,B50 Deception,B54 State false information,564,9.8
2013,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"12,704",221.6
2013,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,3,0.1
2013,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,"1,660",29.0
2012,B Property and deception offences,B50 Deception,B59 Other deception offences,42,0.7
2012,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,43,0.8
2012,B Property and deception offences,B50 Deception,B55 Deceptive business practices,8,0.1
2012,B Property and deception offences,B50 Deception,B54 State false information,561,10.0
2012,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"9,370",166.4
2012,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,3,0.1
2012,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,"1,357",24.1
2011,B Property and deception offences,B50 Deception,B59 Other deception offences,54,1.0
2011,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,40,0.7
2011,B Property and deception offences,B50 Deception,B55 Deceptive business practices,6,0.1
2011,B Property and deception offences,B50 Deception,B54 State false information,461,8.3
2011,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"8,641",156.0
2011,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,1,0.0
2011,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,985,17.8
2010,B Property and deception offences,B50 Deception,B59 Other deception offences,49,0.9
2010,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,42,0.8
2010,B Property and deception offences,B50 Deception,B55 Deceptive business practices,14,0.3
2010,B Property and deception offences,B50 Deception,B54 State false information,458,8.4
2010,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"7,838",143.5
2010,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,1,0.0
2010,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,"1,042",19.1
2009,B Property and deception offences,B50 Deception,B59 Other deception offences,50,0.9
2009,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,41,0.8
2009,B Property and deception offences,B50 Deception,B55 Deceptive business practices,12,0.2
2009,B Property and deception offences,B50 Deception,B54 State false information,489,9.1
2009,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"8,899",165.7
2009,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,5,0.1
2009,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,995,18.5
2008,B Property and deception offences,B50 Deception,B59 Other deception offences,16,0.3
2008,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,37,0.7
2008,B Property and deception offences,B50 Deception,B55 Deceptive business practices,9,0.2
2008,B Property and deception offences,B50 Deception,B54 State false information,516,9.8
2008,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"9,468",180.1
2008,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,2,0.0
2008,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,"1,602",30.5
2017,B Property and deception offences,B60 Bribery,B61 Bribery of officials,5,0.1
2016,B Property and deception offences,B60 Bribery,B61 Bribery of officials,5,0.1
2015,B Property and deception offences,B60 Bribery,B61 Bribery of officials,20,0.3
2014,B Property and deception offences,B60 Bribery,B61 Bribery of officials,3,0.1
2013,B Property and deception offences,B60 Bribery,B61 Bribery of officials,7,0.1
2012,B Property and deception offences,B60 Bribery,B61 Bribery of officials,20,0.4
2011,B Property and deception offences,B60 Bribery,B61 Bribery of officials,13,0.2
2010,B Property and deception offences,B60 Bribery,B61 Bribery of officials,12,0.2
2009,B Property and deception offences,B60 Bribery,B61 Bribery of officials,11,0.2
2008,B Property and deception offences,B60 Bribery,B61 Bribery of officials,41,0.8
2017,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"2,770",45.0
2017,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,16,0.3
2016,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"3,044",50.2
2016,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,17,0.3
2015,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"3,169",53.3
2015,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,13,0.2
2014,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"2,818",48.3
2014,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,10,0.2
2013,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"2,528",44.1
2013,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,7,0.1
2012,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"2,270",40.3
2012,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,16,0.3
2011,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"1,943",35.1
2011,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,11,0.2
2010,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"2,085",38.2
2010,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,15,0.3
2009,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"2,043",38.0
2009,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,14,0.3
2008,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"2,111",40.2
2008,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,10,0.2
2017,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,338,5.5
2017,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,746,12.1
2016,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,343,5.7
2016,C Drug offences,C20 Cultivate or manufacture drugs,C22 Manufacture drugs,1,0.0
2016,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,785,12.9
2015,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,327,5.5
2015,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,900,15.1
2014,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,351,6.0
2014,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,770,13.2
2013,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,288,5.0
2013,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,803,14.0
2012,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,160,2.8
2012,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,732,13.0
2011,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,120,2.2
2011,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,748,13.5
2010,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,90,1.6
2010,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,766,14.0
2009,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,75,1.4
2009,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,779,14.5
2008,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,71,1.4
2008,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,773,14.7
2017,C Drug offences,C30 Drug use and possession,C32 Drug possession,"10,624",172.5
2017,C Drug offences,C30 Drug use and possession,C31 Drug use,581,9.4
2016,C Drug offences,C30 Drug use and possession,C32 Drug possession,"10,313",169.9
2016,C Drug offences,C30 Drug use and possession,C31 Drug use,664,10.9
2015,C Drug offences,C30 Drug use and possession,C32 Drug possession,"10,398",174.9
2015,C Drug offences,C30 Drug use and possession,C31 Drug use,725,12.2
2014,C Drug offences,C30 Drug use and possession,C32 Drug possession,"9,442",161.7
2014,C Drug offences,C30 Drug use and possession,C31 Drug use,753,12.9
2013,C Drug offences,C30 Drug use and possession,C32 Drug possession,"8,892",155.1
2013,C Drug offences,C30 Drug use and possession,C31 Drug use,629,11.0
2012,C Drug offences,C30 Drug use and possession,C32 Drug possession,"8,245",146.4
2012,C Drug offences,C30 Drug use and possession,C31 Drug use,632,11.2
2011,C Drug offences,C30 Drug use and possession,C32 Drug possession,"6,806",122.9
2011,C Drug offences,C30 Drug use and possession,C31 Drug use,578,10.4
2010,C Drug offences,C30 Drug use and possession,C32 Drug possession,"6,314",115.6
2010,C Drug offences,C30 Drug use and possession,C31 Drug use,581,10.6
2009,C Drug offences,C30 Drug use and possession,C32 Drug possession,"6,160",114.7
